194965->Input:48.39, Output: 156.76, Motor power: 156
194970->Input:44.78, Output: 156.76, Motor power: 156
194975->Input:44.78, Output: 156.76, Motor power: 156
194979->Input:44.78, Output: 156.76, Motor power: 156
194984->Input:44.78, Output: 157.48, Motor power: 157
194989->Input:44.78, Output: 157.48, Motor power: 157
194994->Input:44.78, Output: 157.48, Motor power: 157
194999->Input:44.78, Output: 157.48, Motor power: 157
195003->Input:44.78, Output: 157.48, Motor power: 157
195008->Input:44.78, Output: 157.48, Motor power: 157
195013->Input:44.78, Output: 157.48, Motor power: 157
195018->Input:44.78, Output: 157.48, Motor power: 157
195022->Input:44.78, Output: 157.48, Motor power: 157
195027->Input:44.78, Output: 157.48, Motor power: 157
195032->Input:48.39, Output: 157.48, Motor power: 157
195037->Input:48.39, Output: 157.48, Motor power: 157
195042->Input:48.39, Output: 157.48, Motor power: 157
195046->Input:48.39, Output: 157.48, Motor power: 157
195051->Input:48.39, Output: 157.48, Motor power: 157
195056->Input:44.78, Output: 157.48, Motor power: 157
195061->Input:44.78, Output: 157.48, Motor power: 157
195065->Input:44.78, Output: 157.48, Motor power: 157
195070->Input:44.78, Output: 157.48, Motor power: 157
195075->Input:44.78, Output: 157.48, Motor power: 157
195080->Input:44.78, Output: 157.48, Motor power: 157
195085->Input:44.78, Output: 158.21, Motor power: 158
195089->Input:44.78, Output: 158.21, Motor power: 158
195094->Input:44.78, Output: 158.21, Motor power: 158
195099->Input:44.78, Output: 158.21, Motor power: 158
195104->Input:44.78, Output: 158.21, Motor power: 158
195108->Input:44.78, Output: 158.21, Motor power: 158
195113->Input:44.78, Output: 158.21, Motor power: 158
195118->Input:48.39, Output: 158.21, Motor power: 158
195123->Input:48.39, Output: 158.21, Motor power: 158
195127->Input:48.39, Output: 158.21, Motor power: 158
195132->Input:48.39, Output: 158.21, Motor power: 158
195137->Input:48.39, Output: 158.21, Motor power: 158
195142->Input:48.39, Output: 158.21, Motor power: 158
195147->Input:48.39, Output: 158.21, Motor power: 158
195151->Input:48.39, Output: 158.21, Motor power: 158
195156->Input:48.39, Output: 158.21, Motor power: 158
195161->Input:48.39, Output: 158.21, Motor power: 158
195166->Input:48.39, Output: 158.21, Motor power: 158
195170->Input:48.39, Output: 158.21, Motor power: 158
195175->Input:48.39, Output: 158.21, Motor power: 158
195180->Input:48.39, Output: 158.21, Motor power: 158
195185->Input:48.39, Output: 157.12, Motor power: 157
195190->Input:48.39, Output: 157.12, Motor power: 157
195194->Input:48.39, Output: 157.12, Motor power: 157
195199->Input:52.63, Output: 157.12, Motor power: 157
195204->Input:52.63, Output: 157.12, Motor power: 157
195209->Input:52.63, Output: 157.12, Motor power: 157
195213->Input:52.63, Output: 157.12, Motor power: 157
195218->Input:52.63, Output: 157.12, Motor power: 157
195223->Input:48.39, Output: 157.12, Motor power: 157
195228->Input:48.39, Output: 157.12, Motor power: 157
195233->Input:48.39, Output: 157.12, Motor power: 157
195237->Input:48.39, Output: 157.12, Motor power: 157
195242->Input:48.39, Output: 157.12, Motor power: 157
195247->Input:44.78, Output: 157.12, Motor power: 157
195252->Input:44.78, Output: 157.12, Motor power: 157
195256->Input:44.78, Output: 157.12, Motor power: 157
195261->Input:44.78, Output: 157.12, Motor power: 157
195266->Input:44.78, Output: 157.12, Motor power: 157
195271->Input:44.78, Output: 157.12, Motor power: 157
195275->Input:44.78, Output: 157.12, Motor power: 157
195280->Input:44.78, Output: 157.12, Motor power: 157
195285->Input:44.78, Output: 159.29, Motor power: 159
195290->Input:44.78, Output: 159.29, Motor power: 159
195295->Input:44.78, Output: 159.29, Motor power: 159
195299->Input:44.78, Output: 159.29, Motor power: 159
195304->Input:44.78, Output: 159.29, Motor power: 159
195309->Input:44.78, Output: 159.29, Motor power: 159
195314->Input:44.78, Output: 159.29, Motor power: 159
195318->Input:44.78, Output: 159.29, Motor power: 159
195323->Input:44.78, Output: 159.29, Motor power: 159
195328->Input:44.78, Output: 159.29, Motor power: 159
195333->Input:44.78, Output: 159.29, Motor power: 159
195338->Input:44.78, Output: 159.29, Motor power: 159
195342->Input:44.78, Output: 159.29, Motor power: 159
195347->Input:44.78, Output: 159.29, Motor power: 159
195352->Input:48.39, Output: 159.29, Motor power: 159
195357->Input:48.39, Output: 159.29, Motor power: 159
195361->Input:48.39, Output: 159.29, Motor power: 159
195366->Input:48.39, Output: 159.29, Motor power: 159
195371->Input:52.63, Output: 159.29, Motor power: 159
195376->Input:52.63, Output: 159.29, Motor power: 159
195381->Input:52.63, Output: 159.29, Motor power: 159
195385->Input:52.63, Output: 156.08, Motor power: 156
195390->Input:52.63, Output: 156.08, Motor power: 156
195395->Input:48.39, Output: 156.08, Motor power: 156
195400->Input:48.39, Output: 156.08, Motor power: 156
195404->Input:48.39, Output: 156.08, Motor power: 156
195409->Input:48.39, Output: 156.08, Motor power: 156
195414->Input:48.39, Output: 156.08, Motor power: 156
195419->Input:48.39, Output: 156.08, Motor power: 156
195423->Input:48.39, Output: 156.08, Motor power: 156
195428->Input:48.39, Output: 156.08, Motor power: 156
195433->Input:48.39, Output: 156.08, Motor power: 156
195438->Input:48.39, Output: 156.08, Motor power: 156
195443->Input:48.39, Output: 156.08, Motor power: 156
195447->Input:48.39, Output: 156.08, Motor power: 156
195452->Input:52.63, Output: 156.08, Motor power: 156
195457->Input:52.63, Output: 156.08, Motor power: 156
195462->Input:52.63, Output: 156.08, Motor power: 156
195466->Input:52.63, Output: 156.08, Motor power: 156
195471->Input:52.63, Output: 156.08, Motor power: 156
195476->Input:48.39, Output: 156.08, Motor power: 156
195481->Input:48.39, Output: 156.08, Motor power: 156
195486->Input:48.39, Output: 158.14, Motor power: 158
195490->Input:48.39, Output: 158.14, Motor power: 158
195495->Input:48.39, Output: 158.14, Motor power: 158
195500->Input:48.39, Output: 158.14, Motor power: 158
195505->Input:48.39, Output: 158.14, Motor power: 158
195509->Input:48.39, Output: 158.14, Motor power: 158
195514->Input:48.39, Output: 158.14, Motor power: 158
195519->Input:44.78, Output: 158.14, Motor power: 158
195524->Input:44.78, Output: 158.14, Motor power: 158
195529->Input:44.78, Output: 158.14, Motor power: 158
195533->Input:44.78, Output: 158.14, Motor power: 158
195538->Input:44.78, Output: 158.14, Motor power: 158
195543->Input:44.78, Output: 158.14, Motor power: 158
195548->Input:44.78, Output: 158.14, Motor power: 158
195552->Input:44.78, Output: 158.14, Motor power: 158
195557->Input:44.78, Output: 158.14, Motor power: 158
195562->Input:44.78, Output: 158.14, Motor power: 158
195567->Input:44.78, Output: 158.14, Motor power: 158
195571->Input:44.78, Output: 158.14, Motor power: 158
195576->Input:44.78, Output: 158.14, Motor power: 158
195581->Input:44.78, Output: 158.14, Motor power: 158
195586->Input:44.78, Output: 160.31, Motor power: 160
195591->Input:44.78, Output: 160.31, Motor power: 160
195595->Input:44.78, Output: 160.31, Motor power: 160
195600->Input:44.78, Output: 160.31, Motor power: 160
195605->Input:48.39, Output: 160.31, Motor power: 160
195610->Input:48.39, Output: 160.31, Motor power: 160
195614->Input:48.39, Output: 160.31, Motor power: 160
195619->Input:48.39, Output: 160.31, Motor power: 160
195624->Input:48.39, Output: 160.31, Motor power: 160
195629->Input:48.39, Output: 160.31, Motor power: 160
195634->Input:48.39, Output: 160.31, Motor power: 160
195638->Input:48.39, Output: 160.31, Motor power: 160
195643->Input:52.63, Output: 160.31, Motor power: 160
195648->Input:52.63, Output: 160.31, Motor power: 160
195653->Input:52.63, Output: 160.31, Motor power: 160
195657->Input:52.63, Output: 160.31, Motor power: 160
195662->Input:52.63, Output: 160.31, Motor power: 160
195667->Input:48.39, Output: 160.31, Motor power: 160
195672->Input:48.39, Output: 160.31, Motor power: 160
195677->Input:48.39, Output: 160.31, Motor power: 160
195681->Input:48.39, Output: 160.31, Motor power: 160
195686->Input:48.39, Output: 159.23, Motor power: 159
195691->Input:48.39, Output: 159.23, Motor power: 159
195696->Input:48.39, Output: 159.23, Motor power: 159
195700->Input:48.39, Output: 159.23, Motor power: 159
195705->Input:48.39, Output: 159.23, Motor power: 159
195710->Input:48.39, Output: 159.23, Motor power: 159
195715->Input:48.39, Output: 159.23, Motor power: 159
195719->Input:48.39, Output: 159.23, Motor power: 159
195724->Input:48.39, Output: 159.23, Motor power: 159
195729->Input:48.39, Output: 159.23, Motor power: 159
195734->Input:48.39, Output: 159.23, Motor power: 159
195739->Input:48.39, Output: 159.23, Motor power: 159
195743->Input:48.39, Output: 159.23, Motor power: 159
195748->Input:48.39, Output: 159.23, Motor power: 159
195753->Input:48.39, Output: 159.23, Motor power: 159
195758->Input:48.39, Output: 159.23, Motor power: 159
195762->Input:48.39, Output: 159.23, Motor power: 159
195767->Input:48.39, Output: 159.23, Motor power: 159
195772->Input:48.39, Output: 159.23, Motor power: 159
195777->Input:48.39, Output: 159.23, Motor power: 159
195782->Input:48.39, Output: 159.23, Motor power: 159
195786->Input:48.39, Output: 159.59, Motor power: 159
195791->Input:48.39, Output: 159.59, Motor power: 159
195796->Input:48.39, Output: 159.59, Motor power: 159
195801->Input:48.39, Output: 159.59, Motor power: 159
195805->Input:48.39, Output: 159.59, Motor power: 159
195810->Input:48.39, Output: 159.59, Motor power: 159
195815->Input:44.78, Output: 159.59, Motor power: 159
195820->Input:44.78, Output: 159.59, Motor power: 159
195825->Input:44.78, Output: 159.59, Motor power: 159
195829->Input:44.78, Output: 159.59, Motor power: 159
195834->Input:44.78, Output: 159.59, Motor power: 159
195839->Input:44.78, Output: 159.59, Motor power: 159
195844->Input:44.78, Output: 159.59, Motor power: 159
195848->Input:44.78, Output: 159.59, Motor power: 159
195853->Input:48.39, Output: 159.59, Motor power: 159
195858->Input:48.39, Output: 159.59, Motor power: 159
195863->Input:48.39, Output: 159.59, Motor power: 159
195867->Input:48.39, Output: 159.59, Motor power: 159
195872->Input:52.63, Output: 159.59, Motor power: 159
195877->Input:52.63, Output: 159.59, Motor power: 159
195882->Input:52.63, Output: 159.59, Motor power: 159
195887->Input:52.63, Output: 157.83, Motor power: 157
195891->Input:52.63, Output: 157.83, Motor power: 157
195896->Input:52.63, Output: 157.83, Motor power: 157
195901->Input:52.63, Output: 157.83, Motor power: 157
195906->Input:52.63, Output: 157.83, Motor power: 157
195910->Input:52.63, Output: 157.83, Motor power: 157
195915->Input:52.63, Output: 157.83, Motor power: 157
195920->Input:52.63, Output: 157.83, Motor power: 157
195925->Input:52.63, Output: 157.83, Motor power: 157
195930->Input:52.63, Output: 157.83, Motor power: 157
195934->Input:48.39, Output: 157.83, Motor power: 157
195939->Input:48.39, Output: 157.83, Motor power: 157
195944->Input:48.39, Output: 157.83, Motor power: 157
195949->Input:48.39, Output: 157.83, Motor power: 157
195953->Input:48.39, Output: 157.83, Motor power: 157
195958->Input:48.39, Output: 157.83, Motor power: 157
195963->Input:48.39, Output: 157.83, Motor power: 157
195968->Input:48.39, Output: 157.83, Motor power: 157
195973->Input:48.39, Output: 157.83, Motor power: 157
195977->Input:44.78, Output: 157.83, Motor power: 157
195982->Input:44.78, Output: 157.83, Motor power: 157
195987->Input:44.78, Output: 161.69, Motor power: 161
195992->Input:44.78, Output: 161.69, Motor power: 161
195996->Input:48.39, Output: 161.69, Motor power: 161
